"GEO_ID","id"
"NAME","Geographic Area Name"
"S0502_C01_001E","Total!!Estimate!!Foreign-born population"
"S0502_C01_001M","Total!!Margin of Error!!Foreign-born population"
"S0502_C01_002E","Total!!Estimate!!CITIZENSHIP!!Naturalized citizen"
"S0502_C01_002M","Total!!Margin of Error!!CITIZENSHIP!!Naturalized citizen"
"S0502_C01_003E","Total!!Estimate!!CITIZENSHIP!!Not a citizen"
"S0502_C01_003M","Total!!Margin of Error!!CITIZENSHIP!!Not a citizen"
"S0502_C01_004E","Total!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea"
"S0502_C01_004M","Total!!Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea"
"S0502_C01_005E","Total!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Europe"
"S0502_C01_005M","Total!!Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Europe"
"S0502_C01_006E","Total!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Asia"
"S0502_C01_006M","Total!!Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Asia"
"S0502_C01_007E","Total!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Africa"
"S0502_C01_007M","Total!!Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Africa"
"S0502_C01_008E","Total!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Oceania"
"S0502_C01_008M","Total!!Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Oceania"
"S0502_C01_009E","Total!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Latin America"
"S0502_C01_009M","Total!!Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Latin America"
"S0502_C01_010E","Total!!Estimate!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Northern America"
"S0502_C01_010M","Total!!Margin of Error!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Northern America"
"S0502_C01_011E","Total!!Estimate!!SEX AND AGE!!Male"
"S0502_C01_011M","Total!!Margin of Error!!SEX AND AGE!!Male"
"S0502_C01_012E","Total!!Estimate!!SEX AND AGE!!Female"
"S0502_C01_012M","Total!!Margin of Error!!SEX AND AGE!!Female"
"S0502_C01_013E","Total!!Estimate!!Under 5 years"
"S0502_C01_013M","Total!!Margin of Error!!Under 5 years"
"S0502_C01_014E","Total!!Estimate!!5 to 17 years"
"S0502_C01_014M","Total!!Margin of Error!!5 to 17 years"
"S0502_C01_015E","Total!!Estimate!!18 to 24 years"
"S0502_C01_015M","Total!!Margin of Error!!18 to 24 years"
"S0502_C01_016E","Total!!Estimate!!25 to 44 years"
"S0502_C01_016M","Total!!Margin of Error!!25 to 44 years"
"S0502_C01_017E","Total!!Estimate!!45 to 54 years"
"S0502_C01_017M","Total!!Margin of Error!!45 to 54 years"
"S0502_C01_018E","Total!!Estimate!!55 to 64 years"
"S0502_C01_018M","Total!!Margin of Error!!55 to 64 years"
"S0502_C01_019E","Total!!Estimate!!65 to 74 years"
"S0502_C01_019M","Total!!Margin of Error!!65 to 74 years"
"S0502_C01_020E","Total!!Estimate!!75 to 84 years"
"S0502_C01_020M","Total!!Margin of Error!!75 to 84 years"
"S0502_C01_021E","Total!!Estimate!!85 years and over"
"S0502_C01_021M","Total!!Margin of Error!!85 years and over"
"S0502_C01_022E","Total!!Estimate!!Median age (years)"
"S0502_C01_022M","Total!!Margin of Error!!Median age (years)"
"S0502_C01_023E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0502_C01_023M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0502_C01_024E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0502_C01_024M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0502_C01_025E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0502_C01_025M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0502_C01_026E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0502_C01_026M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0502_C01_027E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0502_C01_027M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0502_C01_028E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0502_C01_028M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0502_C01_029E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0502_C01_029M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0502_C01_030E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0502_C01_030M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0502_C01_031E","Total!!Estimate!!Hispanic or Latino origin (of any race)"
"S0502_C01_031M","Total!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S0502_C01_032E","Total!!Estimate!!White alone, not Hispanic or Latino"
"S0502_C01_032M","Total!!Margin of Error!!White alone, not Hispanic or Latino"
"S0502_C01_033E","Total!!Estimate!!HOUSEHOLD TYPE!!In married-couple family"
"S0502_C01_033M","Total!!Margin of Error!!HOUSEHOLD TYPE!!In married-couple family"
"S0502_C01_034E","Total!!Estimate!!HOUSEHOLD TYPE!!In other households"
"S0502_C01_034M","Total!!Margin of Error!!HOUSEHOLD TYPE!!In other households"
"S0502_C01_035E","Total!!Estimate!!Average household size"
"S0502_C01_035M","Total!!Margin of Error!!Average household size"
"S0502_C01_036E","Total!!Estimate!!Average family size"
"S0502_C01_036M","Total!!Margin of Error!!Average family size"
"S0502_C01_037E","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over"
"S0502_C01_037M","Total!!Margin of Error!!MARITAL STATUS!!Population 15 years and over"
"S0502_C01_038E","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0502_C01_038M","Total!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Never married"
"S0502_C01_039E","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0502_C01_039M","Total!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Now married, except separated"
"S0502_C01_040E","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated"
"S0502_C01_040M","Total!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Divorced or separated"
"S0502_C01_041E","Total!!Estimate!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0502_C01_041M","Total!!Margin of Error!!MARITAL STATUS!!Population 15 years and over!!Widowed"
"S0502_C01_042E","Total!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school"
"S0502_C01_042M","Total!!Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school"
"S0502_C01_043E","Total!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
"S0502_C01_043M","Total!!Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool"
"S0502_C01_044E","Total!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades K-8)"
"S0502_C01_044M","Total!!Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades K-8)"
"S0502_C01_045E","Total!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)"
"S0502_C01_045M","Total!!Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12)"
"S0502_C01_046E","Total!!Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school"
"S0502_C01_046M","Total!!Margin of Error!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school"
"S0502_C01_047E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0502_C01_047M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S0502_C01_048E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0502_C01_048M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S0502_C01_049E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0502_C01_049M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S0502_C01_050E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
"S0502_C01_050M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree"
