"GEO_ID","id"
"NAME","Geographic Area Name"
"S0502_C01_001E","Estimate!!Total!!Foreign-born population"
"S0502_C01_001M","Margin of Error!!Total!!Foreign-born population"
"S0502_C01_002E","Estimate!!Total!!Foreign-born population!!CITIZENSHIP!!Naturalized citizen"
"S0502_C01_002M","Margin of Error!!Total!!Foreign-born population!!CITIZENSHIP!!Naturalized citizen"
"S0502_C01_003E","Estimate!!Total!!Foreign-born population!!CITIZENSHIP!!Not a citizen"
"S0502_C01_003M","Margin of Error!!Total!!Foreign-born population!!CITIZENSHIP!!Not a citizen"
"S0502_C01_004E","Estimate!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea"
"S0502_C01_004M","Margin of Error!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea"
"S0502_C01_005E","Estimate!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Europe"
"S0502_C01_005M","Margin of Error!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Europe"
"S0502_C01_006E","Estimate!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Asia"
"S0502_C01_006M","Margin of Error!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Asia"
"S0502_C01_007E","Estimate!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Africa"
"S0502_C01_007M","Margin of Error!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Africa"
"S0502_C01_008E","Estimate!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Oceania"
"S0502_C01_008M","Margin of Error!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Oceania"
"S0502_C01_009E","Estimate!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Latin America"
"S0502_C01_009M","Margin of Error!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Latin America"
"S0502_C01_010E","Estimate!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Northern America"
"S0502_C01_010M","Margin of Error!!Total!!Foreign-born population!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Northern America"
"S0502_C01_011E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!Male"
"S0502_C01_011M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!Male"
"S0502_C01_012E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!Female"
"S0502_C01_012M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!Female"
"S0502_C01_013E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!Under 5 years"
"S0502_C01_013M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!Under 5 years"
"S0502_C01_014E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!5 to 17 years"
"S0502_C01_014M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!5 to 17 years"
"S0502_C01_015E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!18 to 24 years"
"S0502_C01_015M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!18 to 24 years"
"S0502_C01_016E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!25 to 44 years"
"S0502_C01_016M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!25 to 44 years"
"S0502_C01_017E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!45 to 54 years"
"S0502_C01_017M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!45 to 54 years"
"S0502_C01_018E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!55 to 64 years"
"S0502_C01_018M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!55 to 64 years"
"S0502_C01_019E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!65 to 74 years"
"S0502_C01_019M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!65 to 74 years"
"S0502_C01_020E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!75 to 84 years"
"S0502_C01_020M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!75 to 84 years"
"S0502_C01_021E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!85 years and over"
"S0502_C01_021M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!85 years and over"
"S0502_C01_022E","Estimate!!Total!!Foreign-born population!!SEX AND AGE!!Median age (years)"
"S0502_C01_022M","Margin of Error!!Total!!Foreign-born population!!SEX AND AGE!!Median age (years)"
"S0502_C01_023E","Estimate!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0502_C01_023M","Margin of Error!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0502_C01_024E","Estimate!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0502_C01_024M","Margin of Error!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S0502_C01_025E","Estimate!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0502_C01_025M","Margin of Error!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S0502_C01_026E","Estimate!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0502_C01_026M","Margin of Error!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S0502_C01_027E","Estimate!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0502_C01_027M","Margin of Error!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S0502_C01_028E","Estimate!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0502_C01_028M","Margin of Error!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S0502_C01_029E","Estimate!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0502_C01_029M","Margin of Error!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S0502_C01_030E","Estimate!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0502_C01_030M","Margin of Error!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S0502_C01_031E","Estimate!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0502_C01_031M","Margin of Error!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)"
"S0502_C01_032E","Estimate!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0502_C01_032M","Margin of Error!!Total!!Foreign-born population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino"
"S0502_C01_033E","Estimate!!Total!!Foreign-born population!!HOUSEHOLD TYPE!!In married-couple family"
"S0502_C01_033M","Margin of Error!!Total!!Foreign-born population!!HOUSEHOLD TYPE!!In married-couple family"
"S0502_C01_034E","Estimate!!Total!!Foreign-born population!!HOUSEHOLD TYPE!!In other households"
"S0502_C01_034M","Margin of Error!!Total!!Foreign-born population!!HOUSEHOLD TYPE!!In other households"
"S0502_C01_035E","Estimate!!Total!!Foreign-born population!!Average  household size"
"S0502_C01_035M","Margin of Error!!Total!!Foreign-born population!!Average  household size"
"S0502_C01_036E","Estimate!!Total!!Foreign-born population!!Average family size"
"S0502_C01_036M","Margin of Error!!Total!!Foreign-born population!!Average family size"
